 ------------------------------------------------------------------- ------------- -------- ------ --------------------------------------------------------------------------------------------- 
  Name                                                                Method        Scheme   Host   Path                                                                                         
  sales-channel-api.checkout.cart.line-item.delete                    DELETE        ANY      ANY    /sales-channel-api/v{version}/checkout/cart/line-item/{id}                                   
  sales-channel-api.checkout.cart.line-item.update                    PATCH         ANY      ANY    /sales-channel-api/v{version}/checkout/cart/line-item/{id}                                   
  sales-channel-api.checkout.cart.cancel                              DELETE        ANY      ANY    /sales-channel-api/v{version}/checkout/cart                                                  
  sales-channel-api.checkout.cart.line-items.delete                   POST          ANY      ANY    /sales-channel-api/v{version}/checkout/cart/line-items/delete                                
  sales-channel-api.checkout.order.create                             POST          ANY      ANY    /sales-channel-api/v{version}/checkout/order                                                 
  sales-channel-api.checkout.guest-order.create                       POST          ANY      ANY    /sales-channel-api/v{version}/checkout/guest-order                                           
  sales-channel-api.checkout.guest-order.detail                       GET           ANY      ANY    /sales-channel-api/v{version}/checkout/guest-order/{id}                                      
  sales-channel-api.checkout.order.pay                                POST          ANY      ANY    /sales-channel-api/v{version}/checkout/order/{orderId}/pay                                   
  sales-channel-api.customer.login                                    POST          ANY      ANY    /sales-channel-api/v{version}/customer/login                                                 
  sales-channel-api.customer.logout                                   POST          ANY      ANY    /sales-channel-api/v{version}/customer/logout                                                
  sales-channel-api.customer.order.list                               GET           ANY      ANY    /sales-channel-api/v{version}/customer/order                                                 
  sales-channel-api.customer.create                                   POST          ANY      ANY    /sales-channel-api/v{version}/customer                                                       
  sales-channel-api.customer.email.update                             PATCH         ANY      ANY    /sales-channel-api/v{version}/customer/email                                                 
  sales-channel-api.customer.password.update                          PATCH         ANY      ANY    /sales-channel-api/v{version}/customer/password                                              
  sales-channel-api.customer.update                                   PATCH         ANY      ANY    /sales-channel-api/v{version}/customer                                                       
  sales-channel-api.customer.detail                                   GET           ANY      ANY    /sales-channel-api/v{version}/customer                                                       
  sales-channel-api.customer.address.list                             GET           ANY      ANY    /sales-channel-api/v{version}/customer/address                                               
  sales-channel-api.customer.address.detail                           GET           ANY      ANY    /sales-channel-api/v{version}/customer/address/{id}                                          
  sales-channel-api.customer.address.create                           POST|PATCH    ANY      ANY    /sales-channel-api/v{version}/customer/address                                               
  sales-channel-api.customer.address.delete                           DELETE        ANY      ANY    /sales-channel-api/v{version}/customer/address/{id}                                          
  sales-channel-api.customer.address.set-default-shipping-address     PATCH         ANY      ANY    /sales-channel-api/v{version}/customer/address/{id}/default-shipping                         
  sales-channel-api.customer.address.set-default-billing-address      PATCH         ANY      ANY    /sales-channel-api/v{version}/customer/address/{id}/default-billing                          
  api.action.download.document                                        GET           ANY      ANY    /api/v{version}/_action/document/{documentId}/{deepLinkCode}                                 
  api.action.document.preview                                         GET           ANY      ANY    /api/v{version}/_action/order/{orderId}/{deepLinkCode}/document/{documentTypeName}/preview   
  api.action.document.invoice                                         POST          ANY      ANY    /api/v{version}/_action/order/{orderId}/document/{documentTypeName}                          
  api.action.document.upload                                          POST          ANY      ANY    /api/v{version}/_action/document/{documentId}/upload                                         
  api.action.promotion.codes                                          GET           ANY      ANY    /api/v{version}/_action/promotion/{promotionId}/codes/individual                             
  api.action.promotion.codes.remove                                   DELETE        ANY      ANY    /api/v{version}/_action/promotion/{promotionId}/codes/individual                             
  api.action.promotion.setgroup.packager                              GET           ANY      ANY    /api/v{version}/_action/promotion/setgroup/packager                                          
  api.action.promotion.setgroup.sorter                                GET           ANY      ANY    /api/v{version}/_action/promotion/setgroup/sorter                                            
  api.action.order.state_machine.order.transition_state               POST          ANY      ANY    /api/v{version}/_action/order/{orderId}/state/{transition}                                   
